,location,nbr_relation,food_worry,apprch_bside,hlth_happy,chat_often,rlns_safe,age,gender,household,rln_status,work_paid,work_vol,walk_aid,imm_status,bside_dur,bside_pre,bside_pre_muni
149,BRIDGEVIEW PLACE,2,1,1,2,3,5,8,1,1,1,3,3,2,1,4,2,1
150,BRIDGEVIEW PLACE,2,1,2,2,1,4,8,1,1,3,3,3,2,1,3,2,0
151,BRIDGEVIEW PLACE,2,1,3,3,1,3,8,2,1,1,3,3,2,1,4,2,1
152,BRIDGEVIEW PLACE,2,1,1,2,2,4,9,2,1,1,3,3,2,0,4,2,1
153,WALLACE WILSON,2,2,1,3,5,4,8,2,1,1,3,3,2,1,4,2,0
154,MORELAND KENNEDY,2,1,2,2,2,3,9,1,0,2,3,3,1,0,4,3,1
155,MORELAND KENNEDY,2,1,3,3,2,3,7,2,1,1,4,3,2,0,3,2,1
156,MORELAND KENNEDY,2,3,2,3,3,3,8,1,1,1,3,3,2,0,4,2,1
157,MORELAND KENNEDY,1,4,4,4,3,2,8,1,1,1,4,3,1,1,2,2,1
158,MORELAND KENNEDY,2,1,2,2,1,5,8,2,1,1,3,2,2,1,4,2,1
159,COLEOPY PARK,2,1,1,2,2,5,7,1,0,3,4,2,2,0,4,7,1
160,LIONS VIEW BLDG II,2,1,3,3,5,4,8,1,1,1,3,3,1,0,4,0,0
161,ARBUTUS COURT,2,1,2,2,3,2,9,1,1,3,3,3,2,1,4,1,1
162,LIONS VIEW BLDG I,2,1,1,2,2,4,8,1,1,4,3,3,1,1,4,2,1
163,LIONS VIEW BLDG I,3,1,2,3,2,4,9,2,1,1,3,3,2,1,4,2,0
164,GORDONFAHRNI,2,1,1,3,1,4,9,1,1,1,3,3,2,1,4,2,1
165,GORDONFAHRNI,2,1,1,1,2,4,9,1,1,3,3,3,2,1,4,2,0
166,GORDONFAHRNI,2,3,2,2,2,5,9,2,1,1,3,3,2,1,4,2,1
167,GORDONFAHRNI,2,1,2,3,2,4,8,1,1,1,3,3,2,1,3,2,1
168,GORDONFAHRNI,2,1,2,3,3,4,9,1,1,3,3,3,2,1,4,1,1
169,GORDONFAHRNI,2,5,1,3,1,5,8,1,1,3,3,3,1,0,4,3,1
170,MACLEOD MANOR,2,2,5,2,4,3,4,2,1,1,3,3,2,1,4,3,1
171,BURRARD MANOR,2,1,2,2,2,4,8,2,1,1,3,2,2,1,4,2,1
172,MAGNOLO MANOR,2,1,1,1,1,5,8,2,0,2,3,3,1,1,4,3,0
173,SOROPTIMIST LIONS,2,4,3,3,4,4,7,2,1,3,2,2,2,0,2,4,0
174,SOROPTIMIST LIONS,2,1,1,2,1,5,8,2,1,1,3,3,2,0,3,2,1
175,WALLACE WILSON,1,1,1,2,2,4,7,2,1,3,2,3,2,1,4,2,1
176,COLLINGWOOD TOWER,2,1,2,2,3,5,9,1,1,4,3,3,2,0,4,1,1
177,COLEOPY PARK,2,3,2,2,2,4,9,2,1,4,3,2,2,0,2,2,1
178,COLEOPY PARK,2,1,4,2,3,4,8,1,1,4,4,3,2,0,3,2,1
179,LIONS VIEW BLDG III,2,1,1,3,2,5,9,2,1,0,3,3,2,0,4,3,1
180,COLEOPY PARK,2,3,4,5,3,4,9,2,0,1,3,3,2,1,4,3,1
181,COLLINGWOOD TOWER,2,1,3,2,3,4,9,2,0,2,3,2,2,1,4,3,1
182,COLLINGWOOD TOWER,2,3,2,3,2,4,8,1,1,3,3,3,2,0,4,1,1
183,ALICE SAUNDERS,2,1,1,2,2,4,8,2,1,3,3,3,2,1,4,0,0
184,MOUNT PLEASANT,2,1,1,2,3,2,6,1,1,1,4,3,2,0,2,2,0
185,ARBUTUS COURT,2,1,3,2,1,4,8,1,1,1,3,3,2,0,4,2,1
186,LIONS VIEW BLDG III,2,1,1,2,3,4,8,1,1,4,3,3,1,1,4,2,0
187,MUIR MANOR,2,1,2,3,3,4,8,2,1,1,3,3,2,1,4,2,1
188,MUIR MANOR,2,1,2,3,3,3,6,2,0,2,1,3,2,0,3,2,0
189,MUIR MANOR,2,3,2,3,3,4,6,1,1,3,4,3,2,1,4,2,1
190,MOUNT PLEASANT,2,1,1,2,1,5,9,2,1,3,3,3,2,1,4,2,1
191,ALICE SAUNDERS,1,1,1,3,2,5,8,1,1,1,3,2,1,1,2,5,1
192,MORELAND KENNEDY,2,1,1,2,2,4,8,2,1,3,3,3,2,1,4,2,1
193,MORELAND KENNEDY,1,2,4,3,2,4,8,1,1,1,3,3,1,0,4,2,1
194,ARBUTUS COURT,3,1,2,2,2,4,9,2,1,1,3,3,1,0,4,2,1
195,FLORENCE MANOR,2,1,1,2,4,4,8,1,1,3,2,3,2,1,2,2,1
196,BRIDGEVIEW PLACE,2,1,1,3,1,4,8,1,1,3,3,3,2,0,3,2,1
197,LONDONDERRY,2,1,1,2,4,4,7,1,0,1,2,3,2,0,4,2,1
198,ARBUTUS COURT,2,1,2,3,2,4,8,1,0,2,3,3,2,1,4,2,1
199,LOYAL ORANGE,2,1,2,2,1,4,8,2,1,1,3,3,2,1,4,2,1
200,WALLACE WILSON,2,1,2,3,2,5,8,2,1,1,4,3,2,0,3,2,0
201,MAGNOLO MANOR,1,2,2,2,2,4,8,2,1,3,3,2,1,1,2,2,1
202,MORELAND KENNEDY,2,1,2,2,2,4,8,1,1,4,3,3,1,0,4,2,1
203,LIONS VIEW BLDG II,2,1,2,2,2,4,8,1,1,3,3,2,2,0,3,2,1
204,BRIDGEVIEW PLACE,2,1,3,2,2,4,8,1,0,2,3,3,2,0,2,2,1
205,COLLINGWOOD TOWER,2,3,2,2,3,3,8,1,1,1,3,3,2,0,3,3,1
206,COLLINGWOOD TOWER,2,1,4,3,1,4,9,1,1,4,3,3,1,0,3,3,1
207,WALLACE WILSON,2,1,1,2,2,2,8,2,1,1,3,3,2,1,4,0,1
208,COLEOPY PARK,2,1,2,2,2,4,8,2,1,4,3,3,1,0,3,2,0
209,COLLINGWOOD TOWER,2,1,1,2,1,4,9,2,1,4,3,3,2,0,4,2,1
210,MAGNOLO MANOR,2,1,2,2,1,3,6,1,1,1,2,3,2,1,4,2,1
211,LIONS VIEW BLDG I,2,3,3,3,1,5,7,1,1,1,4,3,2,1,4,5,1
212,COLEOPY PARK,2,2,3,3,2,3,7,1,1,1,3,3,2,1,4,2,1
213,COLEOPY PARK,1,3,2,3,2,4,8,1,1,1,3,3,2,1,4,2,1
214,COLEOPY PARK,2,1,2,3,2,5,8,1,1,1,3,3,2,0,4,5,1
215,WALLACE WILSON,2,1,5,2,2,4,8,1,1,1,3,3,2,1,4,2,1
216,MORELAND KENNEDY,2,1,1,2,1,5,9,2,1,1,3,3,1,1,4,2,1
217,GLYNN MANOR,1,3,4,4,2,2,8,1,1,1,3,3,1,1,3,2,1
218,WILSON HEIGHTS MANOR,2,1,1,5,3,4,4,1,0,2,4,3,2,0,2,2,1
219,HARWOOD MANOR,2,5,4,3,2,1,7,1,1,4,3,3,2,0,3,2,1
220,MOUNT PLEASANT,2,1,1,3,3,4,8,1,1,1,3,3,2,1,4,2,0
221,COLLINGWOOD TOWER,3,1,4,4,2,2,7,1,1,3,3,3,2,1,2,6,0
222,KINGS DAUGHTERS,2,3,5,3,2,2,9,1,1,1,3,3,1,1,4,5,1
,,,,,,,,,,,,,,,,,,
